# Title : in-situ files catalog
# Description : catalog of available in-situ files
# Project : Copernicus Marine In Situ TAC
# Format version : 1.4
# Date of update : 2021-02-12T07:32:23Z
# product_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,institution,date_update,data_mode,parameters
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/TG/201601/BS_TS_TG_Constanta2_201601.nc,44.1475,44.1475,28.672,28.672,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,National Institute for Marine Research and Development (Romania),2021-02-01T18:12:41Z,R,DEPH SLEV
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/TG/201601/BS_TS_TG_Constanta_201601.nc,44.1475,44.1475,28.5952,28.5952,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,National Institute for Marine Research and Development (Romania),2021-02-01T18:12:41Z,R,DEPH SLEV
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/TG/201601/BS_TS_TG_Mangalia_201601.nc,43.8014,43.8014,28.5952,28.5952,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,Joint Research Centre (Europe) National institute for Earth Physics (Romania),2021-02-01T18:12:45Z,R,DEPH SLEV
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/TG/201601/BS_TS_TG_Varna_201601.nc,43.192,43.192,27.911,27.911,2016-01-01T00:00:00Z,2016-01-31T23:00:00Z,Institute of Oceanology  Bulgarian Academy of Sciences (IO-BAS),2021-02-01T18:12:45Z,R,DEPH SLEV
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/PF/201601/GL_PR_PF_6900803_201601.nc,40.967,40.967,39.83909,39.83913,2016-01-22T02:42:58Z,2016-01-27T01:03:40Z,Institute of Oceanology Bulgarian Academy of Sciences (IO-BAS),2019-05-22T22:35:44Z,D,PRES TEMP PSAL PRES_ADJUSTED_ERROR PRES_ADJUSTED
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/PF/201601/GL_PR_PF_6900805_201601.nc,41.632,42.032,31.788,32.924,2016-01-02T18:14:13Z,2016-01-27T18:15:31Z,Institute of Oceanology Bulgarian Academy of Sciences (IO-BAS),2019-11-26T13:23:59Z,D,PRES TEMP_ADJUSTED PSAL_ADJUSTED TEMP PSAL PRES_ADJUSTED PRES_ADJUSTED_ERROR TEMP_ADJUSTED_ERROR PSAL_ADJUSTED_ERROR
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/PF/201601/GL_PR_PF_6900807_201601.nc,41.60582,42.51473,28.82958,30.5423,2016-01-02T22:36:00Z,2016-01-28T00:52:00Z,National Research and Development Institute for Marine Geology and Geoecology - GeoEcoMar,2020-08-07T12:25:13Z,M,PRES PSAL TEMP DOX2_ADJUSTED_ERROR DOX2 DOX2_ADJUSTED BBP700_ADJUSTED_ERROR BBP700_ADJUSTED CDOM CPHL_ADJUSTED CPHL BBP700
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/PF/201601/GL_PR_PF_6901831_201601.nc,41.68358,42.41572,31.64943,34.21424,2016-01-01T00:01:00Z,2016-01-31T00:05:00Z,OGS Istituto Nazionale di Oceanografia e di Geofisica Sperimentale,2021-01-19T12:17:26Z,M,PRES PRES_ADJUSTED PRES_ADJUSTED_ERROR TEMP TEMP_ADJUSTED TEMP_ADJUSTED_ERROR PSAL PSAL_ADJUSTED PSAL_ADJUSTED_ERROR
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/PF/201601/GL_PR_PF_6901832_201601.nc,42.07638,42.35292,33.18136,35.37287,2016-01-02T00:07:00Z,2016-01-27T00:08:00Z,OGS Istituto Nazionale di Oceanografia e di Geofisica Sperimentale,2021-01-22T13:35:31Z,M,PRES PRES_ADJUSTED PRES_ADJUSTED_ERROR TEMP TEMP_ADJUSTED TEMP_ADJUSTED_ERROR PSAL PSAL_ADJUSTED PSAL_ADJUSTED_ERROR
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/PF/201601/GL_PR_PF_6901834_201601.nc,41.59624,41.90704,29.18583,31.39816,2016-01-01T00:10:00Z,2016-01-30T23:55:00Z,OGS Istituto Nazionale di Oceanografia e di Geofisica Sperimentale,2021-01-27T13:30:00Z,M,PRES PRES_ADJUSTED PRES_ADJUSTED_ERROR TEMP TEMP_ADJUSTED TEMP_ADJUSTED_ERROR PSAL PSAL_ADJUSTED PSAL_ADJUSTED_ERROR
